слово,происхождение
плавленый,русское
плавник,русское
плавный,русское
плавучий,русское
плагиат,заимствованное
плагиатор,заимствованное
плагиаторския,заимствованное
плагиаторство,заимствованное
плазма,заимствованное
плазменный,заимствованное
плазмон,заимствованное
плазмонный,заимствованное
плакат,заимствованное
плакатный,заимствованное
плакать,русское
плакетка,русское
плакировать,русское
плакировка,русское
пламя,русское
план,заимствованное
планер,заимствованное
планеризм,заимствованное
планерист,заимствованное
планерный,заимствованное
планета,заимствованное
планетарий,русское
планетарный,заимствованное
планетный,заимствованное
плани,русское
планиметр,русское
планировать,заимствованное
планировка,заимствованное
планировщик,русское
планк,заимствованное
планктон,заимствованное
планктонный,заимствованное
плановыя,заимствованное
планомерный,русское
плантаж,русское
плантация,русское
планшаиб,русское
планшет,заимствованное
планшетный,заимствованное
планшир,русское
планширь,русское
пласт,русское
пластик,заимствованное
пластика,заимствованное
пластикат,русское
пластиковыя,заимствованное
пластина,русское
пластинчатый,русское
пластификатор,заимствованное
пластификация,заимствованное
пластическия,заимствованное
пластичность,заимствованное
пластичный,заимствованное
пластмасса,заимствованное
пластмассовыя,заимствованное
пластрон,русское
пластырь,заимствованное
плата,заимствованное
платежеспособный,русское
платежеспосый,русское
плательщик,русское
платина,заимствованное
платинирование,заимствованное
платинировать,заимствованное
платиновыя,заимствованное
платить,русское
платиться,русское
платный,русское
плато,заимствованное
платок,русское
платформа,заимствованное
платье,русское
платёж,русское
платёжка,русское
плафон,заимствованное
плафонный,заимствованное
плац,заимствованное
плацдарм,заимствованное
плацебо,русское
плацента,заимствованное
плацкарта,заимствованное
плацкартный,заимствованное
плачевный,русское
плашка,русское
плащ,русское
пле,русское
плебисцит,заимствованное
плебисцитарный,заимствованное
плебисцитный,заимствованное
плевать,русское
плевра,заимствованное
плеврит,заимствованное
плед,заимствованное
плеер,заимствованное
плеистон,заимствованное
плеистонный,заимствованное
плеистоцен,заимствованное
плеистоценовыя,заимствованное
плей,заимствованное
плекторный,заимствованное
плектр,заимствованное
племенноить,русское
племенный,заимствованное
племя,русское
племянник,русское
племянница,русское
плен,русское
пленарный,заимствованное
пленение,русское
пленник,русское
пленный,русское
пленум,заимствованное
пленэ,заимствованное
плесень,русское
плескать,русское
плетение,русское
плетеный,русское
плеть,русское
плечо,русское
пливый,заимствованное
плинтус,заимствованное
плиоцен,заимствованное
плиоценовыя,заимствованное
плита,русское
плитка,русское
плов,русское
пловец,русское
плод,русское
плодить,русское
плодовый,русское
плодовыя,русское
плодородие,русское
плодородный,русское
плодотворный,русское
плодохранилище,русское
пломба,заимствованное
пломбир,заимствованное
пломбировать,заимствованное
плоския,русское
плоскогорье,русское
плоскогубцы,русское
плоскозубец,русское
плоскость,русское
плот,русское
плотина,русское
плотник,русское
плотномер,русское
плотность,русское
плотный,русское
плотоядный,русское
плотския,русское
плоттер,заимствованное
плоть,русское
плохо,русское
плохоя,русское
площадка,русское
площадноить,русское
площадь,русское
плуг,русское
плунжер,русское
плут,заимствованное
плутовство,русское
плутократ,русское
плутониевыя,заимствованное
плутоний,заимствованное
плыть,русское
плюрализм,заимствованное
плюралист,русское
плюралистическия,заимствованное
плюс,заимствованное
плюсна,русское
плюш,заимствованное
плюшевыя,заимствованное
пляж,заимствованное
пляжный,заимствованное
плёнка,русское
пн,русское
пневматика,заимствованное
пневматическия,заимствованное
пневмококк,русское
пневмония,заимствованное
пневмоторакс,заимствованное
пневмый,заимствованное
пникнуть,русское
по,русское
поб,заимствованное
побег,русское
победа,русское
победитель,русское
победить,русское
победный,русское
победоносный,русское
побежать,русское
побелка,русское
побережье,русское
побить,русское
поблагодарить,русское
побои,русское
побороть,русское
побочный,русское
побояться,русское
побратим,русское
побратимство,русское
побудительный,русское
побудить,русское
побуждение,русское
побывать,русское
побыть,русское
повалить,русское
повар,русское
поведение,русское
поведенческия,русское
повезти,русское
поверитель,русское
поверить,русское
поверка,русское
повернуть,русское
повернуться,русское
поверхностный,русское
поверхность,русское
повесить,русское
повествование,русское
повествовательный,русское
повестка,русское
повесть,русское
повздорить,русское
повзрослеть,русское
повинный,русское
повиноваться,русское
повиснуть,русское
повить,русское
повлечь,русское
повлиять,русское
повод,русское
поводок,русское
повозка,русское
повозочный,русское
поворот,русское
поворотный,русское
повредить,русское
повредиться,русское
повреждение,русское
повременный,русское
повседневность,русское
повседневный,русское
повсеместный,русское
повстанец,русское
повтор,русское
повторение,русское
повторить,русское
повториться,русское
повторный,русское
повторяемость,русское
повысить,русское
повыситься,русское
повышение,русское
повязка,русское
погасить,русское
погаснуть,русское
погибнуть,русское
погибшие,русское
поглотитель,русское
поглотить,русское
поглощать,русское
поговорить,русское
поговорка,русское
погода,русское
погодный,русское
поголовный,русское
поголовье,русское
погон,русское
погоня,русское
пограничник,русское
пограничный,русское
погранконтро,русское
погранохра,русское
погреб,русское
погребение,русское
погрешность,русское
погром,русское
погромный,русское
погромщик,русское
погружение,русское
погружноить,русское
погрузить,русское
погрузиться,русское
погрузка,русское
погрузочный,русское
погрузчик,русское
погубить,русское
под,русское
пода,русское
подавать,русское
подавить,русское
подагра,заимствованное
подагрическия,заимствованное
подарить,русское
подарок,русское
подарочный,русское
податель,русское
податливыя,русское
подать,русское
подача,русское
подбежать,русское
подборка,русское
подбородок,русское
подбросить,русское
подбрюшие,русское
подвал,русское
подведомственный,русское
подвергнуть,русское
подвергнуться,русское
подверженный,русское
подвернуть,русское
подвес,русское
подвесить,русское
подвеска,русское
подвесноить,русское
подвести,русское
подвигнуть,русское
подвид,русское
подвижка,русское
подвижник,русское
подвижничество,русское
подвластный,русское
подвод,русское
подводка,русское
подводный,русское
подвоз,русское
подволок,русское
подворный,русское
подворье,русское
подголовник,русское
подгорный,русское
подготовительный,русское
подготовить,русское
подготовиться,русское
подготовка,русское
подгруппа,русское
подгузник,русское
подда,русское
поддаваться,русское
поддать,русское
поддаться,русское
подделать,русское
подделка,русское
поддельный,русское
поддержать,русское
поддержка,русское
поддон,русское
подекадный,русское
поделать,русское
поделить,русское
поделиться,русское
поденный,русское
подень,русское
подержать,русское
подешеветь,русское
поджечь,русское
поджигатель,русское
поджог,русское
подзаголовок,русское
подзаконный,русское
подзащитный,русское
подземный,русское
подиум,русское
подкаталог,русское
подкислить,русское
подкладка,русское
подкладноить,русское
подкласс,русское
подключить,русское
подключиться,русское
подко,русское
подкова,русское
подкожный,русское
подкомиссия,русское
подкомитет,русское
подконтрольность,русское
подконтрольный,русское
подкрановыя,русское
подкрепить,русское
подкрепление,русское
подкуп,русское
подкупить,русское
подкупноить,русское
подлежать,русское
подлог,русское
подложить,русское
подложный,русское
подлокотник,русское
подменить,русское
подметить,русское
подмножество,русское
подморозить,русское
подмосковный,русское
подмышка,русское
поднадзорный,русское
поднаниматель,русское
поднаём,русское
поднести,русское
поднимать,русское
подниматься,русское
подно,русское
подножка,русское
поднос,русское
поднятие,русское
поднять,русское
подняться,русское
подобать,русское
подобие,русское
подобный,русское
подобострастие,русское
подобострастный,русское
подобрать,русское
подогнать,русское
подогреватель,русское
подогреть,русское
подождать,русское
подозревать,русское
подозрение,русское
подозрительность,русское
подозрительный,русское
подоить,русское
подоконник,русское
подопечный,русское
подоплёка,русское
подорвать,русское
подотрасль,русское
подотчетный,русское
подотчётность,русское
подоходный,русское
подошва,русское
подпасть,русское
подписать,русское
подписаться,русское
подписка,русское
подписноить,русское
подписчик,русское
подпись,русское
подпить,русское
подполковник,русское
подполье,русское
подпорка,русское
подпорный,русское
подправить,русское
подпрограмма,русское
подпункт,русское
подражание,русское
подражательство,русское
подражать,русское
подраздел,русское
подразделение,русское
подразделить,русское
подразумевать,русское
подразумеваться,русское
подраион,русское
подреберье,русское
подробность,русское
подробный,русское
подросток,русское
подруга,русское
подручник,русское
подручный,русское
подрывник,русское
подрывноить,русское
подряд,русское
подрядный,русское
подрядчик,русское
подсанкционный,русское
подсветка,русское
подсистема,русское
подсказать,русское
подсказка,русское
подследственность,русское
подследственный,русское
подсобный,русское
подсоединить,русское
подсолить,русское
подсолнечник,русское
подсос,русское
подспорье,русское
подставить,русское
подставка,русское
подставноить,русское
подстанция,русское
подстилка,русское
подстраховать,русское
подстраховаться,русское
подстрекатель,русское
подстрекательство,русское
подступ,русское
подсудимый,русское
подсудный,русское
подсунуть,русское
подсчитать,русское
подсчёт,русское
подтвердительный,русское
подтвердить,русское
подтвердиться,русское
подтверждение,русское
подтекст,русское
подтоварник,русское
подтолкнуть,русское
подтяжка,русское
подтянуть,русское
подумать,русское
подуровень,русское
подушка,русское
подхватить,русское
подход,русское
подчеркнуть,русское
подчинение,русское
подчиненный,русское
подчинить,русское
подчиниться,русское
подчиняться,русское
подчистка,русское
подчёркивание,русское
подшивка,русское
подшипник,русское
подшить,русское
подшлемник,русское
подъезд,русское
подъемный,русское
подъехать,русское
подъём,русское
подъёмник,русское
подыскать,русское
подёнщик,русское
поединок,русское
поезд,русское
поездка,русское
поести,русское
поехать,русское
пож,русское
пожалеть,русское
пожаловать,русское
пожаловаться,русское
пожар,русское
пожарище,русское
пожарный,русское
пожарооп,русское
пожаротуша,русское
пожелание,русское
пожелать,русское
пожениться,русское
пожертвование,русское
пожертвовать,русское
пожизненный,русское
пожилой,русское
пожить,русское
поза,заимствованное
позаботиться,русское
позвать,русское
позволение,русское
позволительный,русское
позволить,русское
позвонить,русское
позвонок,русское
позвоночник,русское
позднии,русское
поздороваться,русское
поздравитель,русское
поздравительный,русское
поздравить,русское
поздравление,русское
поземельный,русское
позировать,заимствованное
позитив,заимствованное
позитивизм,заимствованное
позитивист,русское
позитивный,заимствованное
позитрон,заимствованное
позитрониевыя,заимствованное
позитрония,заимствованное
позитронный,заимствованное
позиционирование,заимствованное
позиционировать,заимствованное
позиционный,русское
позиция,заимствованное
познаваемый,русское
познавательный,русское
познаваться,русское
познакомить,русское
познакомиться,русское
познание,русское
познать,русское
позолотить,русское
позор,русское
позорить,русское
позориться,русское
позорный,русское
позывной,русское
позёр,заимствованное
поимать,русское
поименный,русское
поименовать,русское
поинтер,русское
поиск,русское
поискать,русское
поисковик,русское
поить,русское
пок,русское
показание,русское
показатель,русское
показательный,русское
показать,русское
показаться,русское
покать,русское
покаяние,русское
покаянный,русское
покаяться,русское
поквартальный,русское
покер,заимствованное
покинуть,русское
поклажа,русское
поклажед,русское
поклон,русское
поклонение,русское
поклониться,русское
поклонник,русское
поклёп,русское
поковка,русское
покои,русское
покоиникнуть,русское
покоиный,русское
покоиться,русское
поколение,русское
покончить,русское
покорный,русское
покоробить,русское
покоробиться,русское
покрасить,русское
покраска,русское
покраснение,русское
покров,русское
покровитель,русское
покровительство,русское
покровительствовать,русское
покрытие,русское
покрыть,русское
покрышка,русское
покупатель,русское
покупательный,русское
покупать,русское
покупка,русское
покупной,русское
покусать,русское
покушаться,русское
покушение,русское
пол,русское
полагать,русское
полагаться,русское
полдень,русское
полдник,русское
поле,русское
полеветь,русское
полевой,русское
полезный,русское
полемизировать,заимствованное
полемика,заимствованное
полемист,русское
полемическия,заимствованное
полемичный,заимствованное
полениться,русское
полетать,русское
полететь,русское
ползун,русское
ползучесть,русское
ползучий,русское
полиандрия,заимствованное
полиартрит,русское
полиатлонистый,заимствованное
полиатлонный,заимствованное
полиатлоно,заимствованное
поливакцина,заимствованное
поливальный,русское
поливать,русское
поливинилхлорид,заимствованное
поливитамин,заимствованное
поливитаминный,заимствованное
полигамия,заимствованное
полигамный,заимствованное
полигиния,заимствованное
полиглот,русское
полигон,заимствованное
полиграф,заимствованное
полиграфист,русское
полиграфить,русское
полиграфия,русское
поликли,русское
поликлиника,заимствованное
поликлиническия,заимствованное
поликриста,русское
поликристалл,заимствованное
поликристаллизация,заимствованное
поликристаллическия,заимствованное
полимер,заимствованное
полимеризация,заимствованное
полимерный,заимствованное
полиморфизм,заимствованное
полиморфный,заимствованное
полиневрит,русское
полином,заимствованное
полиномиальный,заимствованное
полиноминальный,заимствованное
полиомиель,заимствованное
полип,заимствованное
полипропил,русское
полировальный,русское
полировать,заимствованное
полировка,русское
полис,заимствованное
полисахарид,заимствованное
полисахаря,русское
полисеметь,заимствованное
полиспаст,русское
полистирол,заимствованное
полистный,русское
политеизм,заимствованное
политеистическия,заимствованное
политес,русское
политехнизм,русское
политехническия,русское
политзаключенный,русское
политизация,заимствованное
политизированный,русское
политизировать,заимствованное
политизироваться,заимствованное
политик,заимствованное
политика,заимствованное
политико,заимствованное
политикоправовый,русское
политипаж,заимствованное
политическия,заимствованное
политолог,заимствованное
политологическия,заимствованное
политология,заимствованное
политоть,русское
полить,русское
политэконо,русское
полифаг,заимствованное
полифагия,заимствованное
полифоническия,заимствованное
полифоничность,заимствованное
полифоничный,заимствованное
полифония,заимствованное
полифонный,заимствованное
полихроматическия,заимствованное
полихромия,русское
полицеиския,заимствованное
полицентризм,русское
полицентрическия,русское
полиция,заимствованное
полиэ,заимствованное
полиэтилен,заимствованное
полиэтиленовыя,заимствованное
полиэфир,заимствованное
полиэфирный,заимствованное
полк,русское
полка,русское
полковник,русское
полководец,русское
полновластие,русское
полновластный,русское
полномасштабный,русское
полнометражный,русское
полномочие,русское
полномочный,русское
полноправие,русское
полноправный,русское
полнота,русское
полноценный,русское
полный,русское
половина,русское
половинчатый,русское
половозрастный,русское
половозрелый,русское
положение,русское
положительный,русское
положить,русское
положиться,русское
полоз,русское
поломать,русское
поломка,русское
полониевыя,заимствованное
полоний,заимствованное
полоса,русское
полосатый,русское
полоска,русское
полоскание,русское
полость,русское
полотенце,русское
полотнище,русское
полотно,русское
полпра,русское
полтергеист,заимствованное
полуавтомат,русское
полуваго,русское
полугодие,русское
полумера,русское
полумесяц,русское
полумить,русское
полуо,русское
полуостров,русское
полупальто,русское
полупрод,русское
полураспад,русское
полуфина,русское
получатель,русское
получать,русское
получить,русское
получиться,русское
полушарие,русское
полушерстяный,русское
полушубок,русское
полый,заимствованное
поль,заимствованное
польза,русское
пользователь,русское
пользоваться,русское
польстить,русское
полюс,заимствованное
поляна,русское
поляриза,русское
поляризация,заимствованное
поляризованность,заимствованное
поляризуемость,заимствованное
полярность,русское
полярный,заимствованное
полёт,русское
помарка,русское
помело,заимствованное
поменять,русское
поменяться,русское
поместить,русское
помесячный,русское
пометать,русское
пометить,русское
помеха,русское
помешательство,русское
помешать,русское
помещаться,русское
помещение,русское
помидор,заимствованное
помилование,русское
помилованный,русское
помиловать,русское
поминать,русское
поминки,русское
поминовение,русское
помирить,русское
помириться,русское
помнить,русское
помниться,русское
помол,русское
помолвка,русское
поморщиться,русское
помост,русское
помочь,русское
помощник,русское
помощь,русское
помпа,русское
помпон,заимствованное
понадобиться,русское
понедельник,русское
понедельный,русское
понести,русское
пони,русское
понижение,русское
понизить,русское
понизиться,русское
понимание,русское
понимать,русское
понить,русское
понравиться,русское
понтифик,заимствованное
понтификат,заимствованное
понтон,заимствованное
понтонный,заимствованное
понудить,русское
пончо,заимствованное
понятие,русское
понятный,русское
понять,русское
пообещать,русское
поощрение,русское
поощрительный,русское
поощрить,русское
поп,заимствованное
попадать,русское
попасть,русское
попасться,русское
поперечина,русское
поперечный,русское
попечение,русское
попечитель,русское
попечительство,русское
поплавок,русское
поплин,заимствованное
поплиновыя,заимствованное
пополнение,русское
пополнить,русское
пополниться,русское
поправить,русское
поправка,русское
попрать,русское
поприще,русское
попробовать,русское
попросить,русское
попрош,русское
попрошаиничать,русское
популизм,заимствованное
популист,заимствованное
популистския,заимствованное
популяризатор,русское
популяризировать,русское
популяризовать,русское
популярный,заимствованное
популяционный,заимствованное
популяция,заимствованное
попурри,заимствованное
попустительство,русское
попустительствовать,русское
попутный,русское
попутчик,русское
попытаться,русское
попытка,русское
пора,заимствованное
поработать,русское
порадовать,русское
порадоваться,русское
пораженец,русское
поражение,русское
пораженчество,русское
поразительный,русское
поразить,русское
поранить,русское
порассуждать,русское
порвать,русское
порваться,русское
поребрик,русское
порез,русское
порезать,русское
порезаться,русское
порекомендовать,русское
пористый,заимствованное
порицание,русское
порицать,русское
порка,русское
порнография,заимствованное
порог,русское
порода,русское
породить,русское
породнить,русское
породниться,русское
породный,русское
порождение,русское
поролон,русское
порох,заимствованное
пороховой,русское
порочить,русское
порочный,русское
порошкообразный,русское
порошок,русское
порт,заимствованное
портал,заимствованное
портальный,заимствованное
портативный,заимствованное
портер,заимствованное
портик,заимствованное
портить,русское
портландцемент,заимствованное
портландцементный,заимствованное
портмоне,заимствованное
портной,русское
портный,русское
портовыя,заимствованное
портофра,заимствованное
портрет,заимствованное
портретировать,заимствованное
портретист,заимствованное
портретный,заимствованное
портфель,заимствованное
портфельный,заимствованное
портфолио,заимствованное
портье,заимствованное
портьера,заимствованное
портьерный,заимствованное
порубочный,русское
порука,русское
поручеиник,русское
поручение,русское
поручитель,русское
поручительный,русское
поручительския,русское
поручительство,русское
поручить,русское
поручиться,русское
порционный,русское
порция,русское
порча,русское
поршень,русское
порядковыя,русское
порядочный,русское
пос,русское
поса,русское
посадить,русское
посадка,русское
посадочный,русское
посвятить,русское
посвящаться,русское
посвящение,русское
посев,русское
поселенец,русское
поселение,русское
поселить,русское
поселиться,русское
посессия,русское
посетитель,русское
посетить,русское
посетовать,русское
посещаемость,русское
посещать,русское
посеять,русское
посидеть,русское
посильный,русское
послабление,русское
посланец,русское
послание,русское
посланник,русское
послать,русское
послевоенный,русское
последнии,русское
последователь,русское
последовательность,русское
последовательный,русское
последовать,русское
последствие,русское
последующие,русское
послеоперацио,русское
пословица,русское
послоиный,русское
послужить,русское
послушание,русское
послушать,русское
послушный,русское
посм,русское
посмертный,русское
посмотр,русское
посмотреть,русское
пособие,русское
пособник,русское
пособническия,русское
пособничество,русское
посоветовать,русское
посоветоваться,русское
посовещаться,русское
посодеиствовать,русское
посол,русское
посольския,русское
посольство,русское
поспешить,русское
поспешный,русское
поспорить,русское
посрамить,русское
посредник,русское
посредничать,русское
посредничество,русское
посредственность,русское
посредственный,русское
посредство,русское
поссорить,русское
поссориться,русское
пост,заимствованное
поставить,русское
поставка,русское
поставщик,русское
постамент,русское
постановить,русское
постановка,русское
постановление,русское
постановочный,русское
постановщик,русское
постараться,русское
постгляциал,заимствованное
постгляциальный,заимствованное
постель,русское
постепе,русское
постепенный,русское
постер,заимствованное
постигаться,русское
постижимый,русское
постинг,заимствованное
постичь,русское
постмодернизм,заимствованное
постнатальный,заимствованное
постнумерандо,заимствованное
постороннии,русское
постоянный,русское
постоянство,русское
постоять,русское
пострадавшие,русское
пострадать,русское
постраничный,русское
построик,русское
построить,русское
построиться,русское
постскриптум,заимствованное
постулат,заимствованное
постулировать,русское
поступательный,русское
поступить,русское
поступиться,русское
поступление,русское
поступля,русское
поступок,русское
постфактум,заимствованное
постфикс,русское
постыдный,русское
пость,русское
посуда,русское
посуточный,русское
посчастливиться,русское
посчитать,русское
посчитаться,русское
посыл,русское
посылка,русское
посыльный,русское
посыпать,русское
посыпаться,русское
посягнуть,русское
посёлок,русское
пот,русское
потворствовать,русское
потенциал,заимствованное
потенциальный,заимствованное
потенциометр,русское
потенцирование,заимствованное
потенцировать,русское
потенция,заимствованное
потерпеть,русское
потеря,русское
потерянный,русское
потерять,русское
потеряться,русское
потесниться,русское
потир,заимствованное
поток,русское
потолок,русское
потомок,русское
потомственный,русское
потомство,русское
потонуть,русское
поторопить,русское
поторопиться,русское
поточный,русское
потр,русское
потратить,русское
потратиться,русское
потребитель,русское
потребительный,русское
потребительския,русское
потребить,русское
потребление,русское
потреблять,русское
потребность,русское
потребный,русское
